"Plot Title: H5"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9695064)","Coupler Detached","Coupler Attached","Host Connected","End Of File"
06/28/2019 04:09:10 AM,9.657,,,,
06/28/2019 05:09:10 AM,9.657,,,,
06/28/2019 06:09:10 AM,9.435,,,,
06/28/2019 07:09:10 AM,9.386,,,,
06/28/2019 08:09:10 AM,9.485,,,,
06/28/2019 09:09:10 AM,9.706,,,,
06/28/2019 10:09:10 AM,10.198,,,,
06/28/2019 11:09:10 AM,15.867,,,,
06/28/2019 12:09:10 PM,19.912,,,,
06/28/2019 01:09:10 PM,23.280,,,,
06/28/2019 02:09:10 PM,23.713,,,,
06/28/2019 03:09:10 PM,22.058,,,,
06/28/2019 04:09:10 PM,20.746,,,,
06/28/2019 05:09:10 PM,19.912,,,,
06/28/2019 06:09:10 PM,17.701,,,,
06/28/2019 07:09:10 PM,15.438,,,,
